time,C_mol,CL_mol,CT_mol,C_wtppm,CL_wtppm,CT_wtppm
0.0,0.0,0.0,0.0,0.0,0.0,0.0
120.0,4.19352627,3.47384405,0.720057861,0.534875793,0.442997894,0.0918471527
600.0,6.792243,5.69948626,1.09173763,0.866381348,0.72717157,0.139255081
1800.0,9.26632309,7.82089281,1.44554853,1.18200159,0.997819153,0.18438652
7200.0,10.135087,8.56463146,1.57005858,1.29300785,1.09300828,0.200212433
